rain_loc,date,time,time_period,rain_amount
"9.685829,76.784060",2022-07-15,00:08:00,24,8
"9.7494779,76.8015816",2022-07-15,00:08:19,24,3.4
"9.712868,76.743207",2022-07-15,00:08:20,24,10
"9.6698160,76.7817732",2022-07-15,00:08:25,24,3
"9.6729183,76.7891464",2022-07-15,00:08:32,24,0
"9.6916307,76.7760021",2022-07-15,00:08:20,24,2.4
"9.712868,76.743207",2022-07-16,00:08:12,24,20.5
"9.6729183,76.7891464",2022-07-16,00:09:10,24,26
"9.7494779,76.8015816",2022-07-16,00:09:11,24,22.4
"9.6191895,76.8437779",2022-07-16,00:08:00,24,30
"9.685829,76.784060",2022-07-16,00:08:30,24,27
"9.6698160,76.7817732",2022-07-16,00:11:10,24,26
"9.6916307,76.7760021",2022-07-16,00:20:20,24,48.8
"9.6916307,76.7760021",2022-07-17,00:08:20,24,33.6
"9.7494779,76.8015816",2022-07-17,00:08:20,24,17.6
"9.712868,76.743207",2022-07-17,00:10:04,24,28
"9.685829,76.784060",2022-07-17,00:09:00,24,37
"9.6191895,76.8437779",2022-07-17,00:08:31,24,25
"9.6698160,76.7817732",2022-07-17,00:10:45,24,36
"9.7216611,76.7776151",2022-07-17,00:09:00,24,18.4
"9.7494779,76.8015816",2022-07-18,00:08:15,24,11
"9.6191895,76.8437779",2022-07-18,00:08:00,24,10
"9.6916307,76.7760021",2022-07-18,00:08:20,24,7.2
"9.7216611,76.7776151",2022-07-18,00:08:00,24,21.2
"9.6698160,76.7817732",2022-07-18,00:08:45,24,35
"9.7494779,76.8015816",2022-07-19,00:08:15,24,12.8
"9.6191895,76.8437779",2022-07-19,00:08:01,24,23
"9.6729183,76.7891464",2022-07-19,00:08:29,24,21.3
"9.7216611,76.7776151",2022-07-19,00:08:00,24,13.6
"9.6916307,76.7760021",2022-07-19,00:08:20,24,17.2
"9.685829,76.784060",2022-07-19,00:08:30,24,38
"9.6191895,76.8437779",2022-07-20,00:08:00,24,2.4
"9.7494779,76.8015816",2022-07-20,00:08:20,24,5
"9.685829,76.784060",2022-07-20,00:08:30,24,2.2
"9.7216611,76.7776151",2022-07-20,00:08:00,24,1.8
"9.6698160,76.7817732",2022-07-20,00:09:30,24,8
"9.6698160,76.7817732",2022-07-20,00:09:30,24,8
"9.6916307,76.7760021",2022-07-20,00:08:20,24,1.6
"9.6191895,76.8437779",2022-07-21,00:08:00,24,8
"9.7494779,76.8015816",2022-07-21,00:08:14,24,6.5
"9.6729183,76.7891464",2022-07-21,00:08:34,24,7
"9.6916307,76.7760021",2022-07-21,00:08:20,24,13.4
"9.7216611,76.7776151",2022-07-21,00:08:00,24,11.2
"9.6698160,76.7817732",2022-07-21,00:09:10,24,8
"9.685829,76.784060",2022-07-21,00:08:30,24,10.4
"9.685829,76.784060",2022-07-21,00:08:30,24,10.4
"9.6191895,76.8437779",2022-07-22,00:08:01,24,1
"9.7494779,76.8015816",2022-07-22,00:08:24,24,0.9
"9.6698160,76.7817732",2022-07-22,00:08:40,24,8
"9.7216611,76.7776151",2022-07-22,00:08:00,24,4.2
"9.6916307,76.7760021",2022-07-22,00:08:20,24,0.2
"9.685829,76.784060",2022-07-22,00:08:30,24,1.4
